system:index,forest_lab,id,max_ndvi,mean_ndvi,min_ndvi,ndvi_01,ndvi_02,ndvi_03,ndvi_04,ndvi_05,ndvi_06,ndvi_07,ndvi_08,ndvi_09,ndvi_10,ndvi_11,ndvi_12,ndvi_amplitude,rand,subset,.geo
00000000000000000260_0,0,AL_822983954,0.6644384860992432,0.5961698095003763,0.5440000295639038,0.5923631,0.57148916,0.58295023,0.5962777,0.57414967,0.544,0.6644385,0.6114807,0.6270079,0.5924706,0.60523087,0.59217924,0.12043845653533936,0.822983954796076,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000267_0,0,AL_828756751,0.7428596615791321,0.5608011061946551,0.3122783303260803,0.31227833,0.33636364,0.5382309,0.63973033,0.734736,0.6774838,0.6928056,0.73100567,0.74285966,0.5198973,0.3961429,0.40807915,0.43058133125305176,0.828756751716262,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028f_0,0,AL_886432576,0.8428693413734436,0.7164912695686022,0.3177570104598999,0.7193062,0.77132803,0.82758856,0.84286934,0.8361676,0.8135921,0.7905618,0.74467826,0.8389377,0.317757,0.43566075,0.65944797,0.5251123309135437,0.886432576995546,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000297_0,0,AL_896972261,0.7410904765129089,0.5065638038019339,0.2092525213956833,0.20925252,0.26256984,0.4448052,0.7410905,0.6435055,0.6886049,0.70921445,0.68378884,0.5620993,0.39625674,0.34804142,0.38953647,0.5318379551172256,0.896972261143516,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ad_0,0,AL_923044478,0.8471042513847351,0.7758379901448885,0.46876272559165955,0.80752987,0.7708703,0.74338627,0.7738045,0.46876273,0.7584622,0.8138372,0.8304668,0.84710425,0.8261191,0.8355395,0.83417314,0.37834152579307556,0.92304447833264,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b4_0,0,AL_928975476,0.6722572445869446,0.5011047422885895,0.39281129837036133,0.42211732,0.42907518,0.3928113,0.46637896,0.43692476,0.48495972,0.6233974,0.6605941,0.67225724,0.4190591,0.5218509,0.48383093,0.27944594621658325,0.928975476360687,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_0,1,AL_003140968,0.9118279814720154,0.740250455836455,0.496031790971756,0.5078355,0.4960318,0.5298173,0.89556825,0.911828,0.8721872,0.8922353,0.7976958,0.8161342,0.8382342,0.7406653,0.58477265,0.4157961905002594,0.003140968506632,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,1,AL_011794667,0.8837496638298035,0.7621018290519714,0.4300278425216675,0.70291233,0.6656633,0.7831972,0.88374966,0.869102,0.8537284,0.43002784,0.83875,0.8152483,0.84821075,0.78875196,0.66588014,0.453721821308136,0.011794667537113,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,1,AL_015777030,0.8302364945411682,0.7184235608826081,0.07920125871896744,0.8302365,0.82590413,0.78132284,0.81534463,0.81541705,0.40749112,0.7709195,0.8270632,0.07920126,0.8224852,0.8240146,0.8216827,0.7510352358222008,0.015777030336517,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,1,AL_018726188,0.8566141128540039,0.6516400302449862,0.42444470524787903,0.4244447,0.44404846,0.50048214,0.80064833,0.8566141,0.8150121,0.81689644,0.8190675,0.79999536,0.6215824,0.4527027,0.46818614,0.4321694076061249,0.01872618885201,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,1,AL_029943004,0.7952348589897156,0.6438863252600034,0.4298025071620941,0.45326835,0.4298025,0.44026402,0.735022,0.78604275,0.7884866,0.7862785,0.79523486,0.74669313,0.5834292,0.6836542,0.4984598,0.36543235182762146,0.029943004132714,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,1,AL_031985217,0.6511494517326355,0.5787358283996582,0.44126763939857483,0.45196506,0.44126764,0.5309988,0.6275419,0.6492702,0.65114945,0.6133257,0.619053,0.64053303,0.630442,0.58823925,0.50104386,0.20988181233406067,0.031985217098413,edge,"{""type"":""MultiPoint"",""coordinates"":[]}"
